dia,Modelo,Placa,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [km/kWh],Energía [kWh],Costo Aproximado [$MXN],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
15/6/2024,BYD T45,LPESKB3BDP0000002,117.00,117.00,0.0,1.981,0,0.0,0.0,,,,,,,
12/6/2024,BYD T45,LPESKB3BDP0000002,117.00,,,1.981,,,,,,,,,,
20/8/2024,BYD T45,LPESKB3BDP0000002,200.00,200.00,0.0,1.981,0,0.0,0.0,,,,,,,
28/6/2024,BYD T45,LPESKB3BDP0000002,119.00,119.00,0.0,1.981,0,0.0,0.0,,,,,,,
17/7/2024,BYD T45,LPESKB3BDP0000002,152.00,152.00,0.0,1.981,0,0.0,0.0,,,,,,,
1/7/2024,BYD T45,LPESKB3BDP0000002,119.00,119.00,0.0,1.981,0,0.0,0.0,,,,,,,
20/6/2024,BYD T45,LPESKB3BDP0000002,117.00,117.00,0.0,1.981,0,0.0,0.0,,,,,,,
10/7/2024,BYD T45,LPESKB3BDP0000002,119.00,119.00,0.0,1.981,0,0.0,0.0,,,,,,,
24/7/2024,BYD T45,LPESKB3BDP0000002,152.00,152.00,0.0,1.981,0,0.0,0.0,,,,,,,
8/7/2024,BYD T45,LPESKB3BDP0000002,119.00,119.00,0.0,1.981,0,0.0,0.0,,,,,,,
11/7/2024,BYD T45,LPESKB3BDP0000002,119.00,119.00,0.0,1.981,0,0.0,0.0,,,,,,,
27/6/2024,BYD T45,LPESKB3BDP0000002,119.00,118.00,1.0,1.981,"0,5",2.35,0.22,,,,,,,
16/8/2024,BYD T45,LPESKB3BDP0000002,200.00,200.00,0.0,1.981,0,0.0,0.0,,,,,,,
4/7/2024,BYD T45,LPESKB3BDP0000002,119.00,119.00,0.0,1.981,0,0.0,0.0,,,,,,,
17/8/2024,BYD T45,LPESKB3BDP0000002,200.00,200.00,0.0,1.981,0,0.0,0.0,,,,,,,
9/8/2024,BYD T45,LPESKB3BDP0000002,200.00,152.00,48.0,1.981,"24,24",113.93,10.42,9.969.999.998.807.900,0.0,0,1.0,0,2.0,0.30000001192092896
16/7/2024,BYD T45,LPESKB3BDP0000002,152.00,120.00,32.0,1.981,"16,16",75.95,6.95,100,0.0,0,0.0,0,0.0,0
15/7/2024,BYD T45,LPESKB3BDP0000002,120.00,119.00,1.0,1.981,"0,5",2.35,0.22,100,0.0,0,0.0,0,0.0,0
9/7/2024,BYD T45,LPESKB3BDP0000002,119.00,119.00,0.0,1.981,0,0.0,0.0,100,0.0,0,0.0,0,0.0,0
3/7/2024,BYD T45,LPESKB3BDP0000002,119.00,119.00,0.0,1.981,0,0.0,0.0,100,0.0,0,0.0,0,0.0,0
26/6/2024,BYD T45,LPESKB3BDP0000002,118.00,117.00,1.0,1.981,"0,5",2.35,0.22,100,0.0,0,0.0,0,0.0,0
25/6/2024,BYD T45,LPESKB3BDP0000002,117.00,117.00,0.0,1.981,0,0.0,0.0,100,0.0,0,0.0,0,0.0,0
16/6/2024,JAC E10X,28J427,"47,152.00","47,152.00",0.0,6.369,0,0.0,0.0,,,,,,,
2/6/2024,JAC E10X,28J427,"46,001.00","46,001.00",0.0,6.369,0,0.0,0.0,,,,,,,
31/8/2024,JAC E10X,28J427,"52,842.00","52,757.00",85.0,6.369,"13,35",62.75,5.74,100,1.0,0,0.0,0,0.0,0
30/8/2024,JAC E10X,28J427,"52,757.00","52,673.00",84.0,6.369,"13,19",61.99,5.67,100,0.0,0,0.0,0,0.0,0
29/8/2024,JAC E10X,28J427,"52,673.00","52,587.00",86.0,6.369,"13,5",63.45,5.81,100,0.0,0,0.0,0,0.0,0
28/8/2024,JAC E10X,28J427,"52,587.00","52,499.00",88.0,6.369,"13,82",64.95,5.94,100,0.0,0,0.0,0,0.0,0
27/8/2024,JAC E10X,28J427,"52,499.00","52,420.00",79.0,6.369,"12,4",58.28,5.33,100,1.0,0,0.0,0,0.0,0
26/8/2024,JAC E10X,28J427,"52,420.00","52,336.00",84.0,6.369,"13,19",61.99,5.67,100,0.0,0,0.0,0,0.0,0
24/8/2024,JAC E10X,28J427,"52,336.00","52,256.00",80.0,6.369,"12,56",59.03,5.4,100,0.0,0,0.0,0,0.0,0
23/8/2024,JAC E10X,28J427,"52,256.00","52,177.00",79.0,6.369,"12,4",58.28,5.33,100,1.0,0,0.0,0,0.0,0
22/8/2024,JAC E10X,28J427,"52,177.00","52,090.00",87.0,6.369,"13,66",64.2,5.87,100,0.0,0,0.0,0,0.0,0
21/8/2024,JAC E10X,28J427,"52,090.00","51,992.00",98.0,6.369,"15,39",72.33,6.62,100,0.0,0,0.0,0,0.0,0
20/8/2024,JAC E10X,28J427,"51,992.00","51,913.00",79.0,6.369,"12,4",58.28,5.33,100,0.0,0,0.0,0,0.0,0
19/8/2024,JAC E10X,28J427,"51,913.00","51,831.00",82.0,6.369,"12,87",60.49,5.53,100,0.0,0,0.0,0,0.0,0
17/8/2024,JAC E10X,28J427,"51,831.00","51,741.00",90.0,6.369,"14,13",66.41,6.08,100,0.0,0,0.0,0,0.0,0
16/8/2024,JAC E10X,28J427,"51,741.00","51,663.00",78.0,6.369,"12,25",57.58,5.27,100,0.0,0,0.0,0,0.0,0
15/8/2024,JAC E10X,28J427,"51,663.00","51,574.00",89.0,6.369,"13,97",65.66,6.01,100,1.0,0,0.0,0,0.0,0
14/8/2024,JAC E10X,28J427,"51,574.00","51,481.00",93.0,6.369,"14,6",68.62,6.28,100,1.0,0,0.0,0,0.0,0
13/8/2024,JAC E10X,28J427,"51,481.00","51,402.00",79.0,6.369,"12,4",58.28,5.33,100,0.0,0,0.0,0,0.0,0
12/8/2024,JAC E10X,28J427,"51,402.00","51,320.00",82.0,6.369,"12,87",60.49,5.53,100,1.0,0,0.0,0,0.0,0
10/8/2024,JAC E10X,28J427,"51,320.00","51,238.00",82.0,6.369,"12,87",60.49,5.53,100,0.0,0,0.0,0,0.0,0
9/8/2024,JAC E10X,28J427,"51,238.00","51,156.00",82.0,6.369,"12,87",60.49,5.53,100,0.0,0,0.0,0,0.0,0
8/8/2024,JAC E10X,28J427,"51,156.00","51,071.00",85.0,6.369,"13,35",62.75,5.74,100,0.0,0,0.0,0,0.0,0
7/8/2024,JAC E10X,28J427,"51,071.00","50,984.00",87.0,6.369,"13,66",64.2,5.87,100,0.0,0,0.0,0,0.0,0
6/8/2024,JAC E10X,28J427,"50,984.00","50,906.00",78.0,6.369,"12,25",57.58,5.27,100,0.0,0,0.0,0,0.0,0
5/8/2024,JAC E10X,28J427,"50,906.00","50,818.00",88.0,6.369,"13,82",64.95,5.94,100,0.0,0,0.0,0,0.0,0
3/8/2024,JAC E10X,28J427,"50,818.00","50,738.00",80.0,6.369,"12,56",59.03,5.4,100,1.0,0,0.0,0,0.0,0
2/8/2024,JAC E10X,28J427,"50,738.00","50,652.00",86.0,6.369,"13,5",63.45,5.81,100,0.0,0,0.0,0,0.0,0
1/8/2024,JAC E10X,28J427,"50,652.00","50,570.00",82.0,6.369,"12,87",60.49,5.53,100,0.0,0,0.0,0,0.0,0
31/7/2024,JAC E10X,28J427,"50,570.00","50,490.00",80.0,6.369,"12,56",59.03,5.4,100,1.0,0,0.0,0,0.0,0
30/7/2024,JAC E10X,28J427,"50,490.00","50,403.00",87.0,6.369,"13,66",64.2,5.87,100,0.0,0,0.0,0,0.0,0
29/7/2024,JAC E10X,28J427,"50,403.00","50,318.00",85.0,6.369,"13,35",62.75,5.74,100,0.0,0,0.0,0,0.0,0
27/7/2024,JAC E10X,28J427,"50,318.00","50,238.00",80.0,6.369,"12,56",59.03,5.4,100,0.0,0,0.0,0,0.0,0
26/7/2024,JAC E10X,28J427,"50,238.00","50,151.00",87.0,6.369,"13,66",64.2,5.87,100,0.0,0,0.0,0,0.0,0
25/7/2024,JAC E10X,28J427,"50,151.00","50,022.00",129.0,6.369,"20,25",95.18,8.71,100,1.0,0,0.0,0,0.0,0
24/7/2024,JAC E10X,28J427,"50,022.00","49,993.00",29.0,6.369,"4,55",21.39,1.96,100,0.0,0,0.0,0,0.0,0
23/7/2024,JAC E10X,28J427,"49,993.00","49,962.00",31.0,6.369,"4,87",22.89,2.09,100,1.0,0,0.0,0,0.0,0
22/7/2024,JAC E10X,28J427,"49,962.00","49,873.00",89.0,6.369,"13,97",65.66,6.01,100,1.0,0,0.0,0,0.0,0
20/7/2024,JAC E10X,28J427,"49,873.00","49,791.00",82.0,6.369,"12,87",60.49,5.53,100,1.0,0,0.0,0,0.0,0
